frame,metric,value,unit,group
55,fault,0.0,state,reference:cwru
56,vibration,0.0725,g,reference:cwru
56,vibration_velocity,0.659,mm/s,reference:cwru
56,fault,0.0,state,reference:cwru
57,vibration,0.0737,g,reference:cwru
57,vibration_velocity,0.547,mm/s,reference:cwru
57,fault,0.0,state,reference:cwru
58,vibration,0.0758,g,reference:cwru
58,vibration_velocity,0.679,mm/s,reference:cwru
58,fault,0.0,state,reference:cwru
59,vibration,0.0711,g,reference:cwru
59,vibration_velocity,0.539,mm/s,reference:cwru
59,fault,0.0,state,reference:cwru
60,vibration,0.0728,g,reference:cwru
60,vibration_velocity,0.581,mm/s,reference:cwru
60,fault,0.0,state,reference:cwru
61,vibration,0.0742,g,reference:cwru
61,vibration_velocity,0.641,mm/s,reference:cwru
61,fault,0.0,state,reference:cwru
62,vibration,0.0738,g,reference:cwru
62,vibration_velocity,0.514,mm/s,reference:cwru
62,fault,0.0,state,reference:cwru
63,vibration,0.0745,g,reference:cwru
63,vibration_velocity,0.563,mm/s,reference:cwru
63,fault,0.0,state,reference:cwru
64,vibration,0.0734,g,reference:cwru
64,vibration_velocity,0.609,mm/s,reference:cwru
64,fault,0.0,state,reference:cwru
65,vibration,0.075,g,reference:cwru
65,vibration_velocity,0.598,mm/s,reference:cwru
65,fault,0.0,state,reference:cwru
66,vibration,0.0732,g,reference:cwru
66,vibration_velocity,0.635,mm/s,reference:cwru
66,fault,0.0,state,reference:cwru
67,vibration,0.0751,g,reference:cwru
67,vibration_velocity,0.59,mm/s,reference:cwru
67,fault,0.0,state,reference:cwru
68,vibration,0.0761,g,reference:cwru
68,vibration_velocity,0.694,mm/s,reference:cwru
68,fault,0.0,state,reference:cwru
69,vibration,0.0741,g,reference:cwru
69,vibration_velocity,0.595,mm/s,reference:cwru
69,fault,0.0,state,reference:cwru
70,vibration,0.0792,g,reference:cwru
70,vibration_velocity,0.581,mm/s,reference:cwru
70,fault,0.0,state,reference:cwru
71,vibration,0.0767,g,reference:cwru
71,vibration_velocity,0.643,mm/s,reference:cwru
71,fault,0.0,state,reference:cwru
72,vibration,0.0768,g,reference:cwru
72,vibration_velocity,0.603,mm/s,reference:cwru
72,fault,0.0,state,reference:cwru
73,vibration,0.0751,g,reference:cwru
73,vibration_velocity,0.639,mm/s,reference:cwru
73,fault,0.0,state,reference:cwru
74,vibration,0.0742,g,reference:cwru
74,vibration_velocity,0.588,mm/s,reference:cwru
74,fault,0.0,state,reference:cwru
75,vibration,0.0757,g,reference:cwru
75,vibration_velocity,0.595,mm/s,reference:cwru
75,fault,0.0,state,reference:cwru
76,vibration,0.0744,g,reference:cwru
76,vibration_velocity,0.606,mm/s,reference:cwru
76,fault,0.0,state,reference:cwru
77,vibration,0.0747,g,reference:cwru
77,vibration_velocity,0.563,mm/s,reference:cwru
77,fault,0.0,state,reference:cwru
78,vibration,0.0745,g,reference:cwru
78,vibration_velocity,0.642,mm/s,reference:cwru
78,fault,0.0,state,reference:cwru
79,vibration,0.0756,g,reference:cwru
79,vibration_velocity,0.581,mm/s,reference:cwru
79,fault,0.0,state,reference:cwru
80,vibration,0.0756,g,reference:cwru
80,vibration_velocity,0.586,mm/s,reference:cwru
80,fault,0.0,state,reference:cwru
81,vibration,0.0746,g,reference:cwru
81,vibration_velocity,0.515,mm/s,reference:cwru
81,fault,0.0,state,reference:cwru
82,vibration,0.0734,g,reference:cwru
82,vibration_velocity,0.507,mm/s,reference:cwru
82,fault,0.0,state,reference:cwru
83,vibration,0.0775,g,reference:cwru
83,vibration_velocity,0.591,mm/s,reference:cwru
83,fault,0.0,state,reference:cwru
84,vibration,0.0721,g,reference:cwru
84,vibration_velocity,0.435,mm/s,reference:cwru
84,fault,0.0,state,reference:cwru
85,vibration,0.0723,g,reference:cwru
85,vibration_velocity,0.485,mm/s,reference:cwru
85,fault,0.0,state,reference:cwru
86,vibration,0.0741,g,reference:cwru
86,vibration_velocity,0.548,mm/s,reference:cwru
86,fault,0.0,state,reference:cwru
87,vibration,0.0762,g,reference:cwru
87,vibration_velocity,0.598,mm/s,reference:cwru
87,fault,0.0,state,reference:cwru
88,vibration,0.0722,g,reference:cwru
88,vibration_velocity,0.515,mm/s,reference:cwru
88,fault,0.0,state,reference:cwru
89,vibration,0.0723,g,reference:cwru
89,vibration_velocity,0.511,mm/s,reference:cwru
89,fault,0.0,state,reference:cwru
90,vibration,0.0779,g,reference:cwru
90,vibration_velocity,0.603,mm/s,reference:cwru
90,fault,0.0,state,reference:cwru
91,vibration,0.0728,g,reference:cwru
91,vibration_velocity,0.54,mm/s,reference:cwru
91,fault,0.0,state,reference:cwru
92,vibration,0.076,g,reference:cwru
92,vibration_velocity,0.552,mm/s,reference:cwru
92,fault,0.0,state,reference:cwru
93,vibration,0.0738,g,reference:cwru
93,vibration_velocity,0.556,mm/s,reference:cwru
93,fault,0.0,state,reference:cwru
94,vibration,0.0745,g,reference:cwru
94,vibration_velocity,0.569,mm/s,reference:cwru
94,fault,0.0,state,reference:cwru
95,vibration,0.0756,g,reference:cwru
95,vibration_velocity,0.557,mm/s,reference:cwru
95,fault,0.0,state,reference:cwru
96,vibration,0.0765,g,reference:cwru
96,vibration_velocity,0.554,mm/s,reference:cwru
96,fault,0.0,state,reference:cwru
97,vibration,0.0767,g,reference:cwru
97,vibration_velocity,0.605,mm/s,reference:cwru
97,fault,0.0,state,reference:cwru
98,vibration,0.0758,g,reference:cwru
98,vibration_velocity,0.598,mm/s,reference:cwru
98,fault,0.0,state,reference:cwru
99,vibration,0.0748,g,reference:cwru
99,vibration_velocity,0.584,mm/s,reference:cwru
99,fault,0.0,state,reference:cwru
100,vibration,0.0795,g,reference:cwru
100,vibration_velocity,0.641,mm/s,reference:cwru
100,fault,0.0,state,reference:cwru
101,vibration,0.0745,g,reference:cwru
101,vibration_velocity,0.59,mm/s,reference:cwru
101,fault,0.0,state,reference:cwru
102,vibration,0.0753,g,reference:cwru
102,vibration_velocity,0.585,mm/s,reference:cwru
102,fault,0.0,state,reference:cwru
103,vibration,0.0742,g,reference:cwru
103,vibration_velocity,0.579,mm/s,reference:cwru
103,fault,0.0,state,reference:cwru
104,vibration,0.0739,g,reference:cwru
104,vibration_velocity,0.586,mm/s,reference:cwru
104,fault,0.0,state,reference:cwru
105,vibration,0.0741,g,reference:cwru
105,vibration_velocity,0.538,mm/s,reference:cwru
105,fault,0.0,state,reference:cwru
106,vibration,0.0744,g,reference:cwru
106,vibration_velocity,0.56,mm/s,reference:cwru
106,fault,0.0,state,reference:cwru
107,vibration,0.0741,g,reference:cwru
107,vibration_velocity,0.549,mm/s,reference:cwru
107,fault,0.0,state,reference:cwru
108,vibration,0.0744,g,reference:cwru
108,vibration_velocity,0.651,mm/s,reference:cwru
108,fault,0.0,state,reference:cwru
109,vibration,0.0752,g,reference:cwru
109,vibration_velocity,0.557,mm/s,reference:cwru
109,fault,0.0,state,reference:cwru
110,vibration,0.072,g,reference:cwru
110,vibration_velocity,0.526,mm/s,reference:cwru
110,fault,0.0,state,reference:cwru
111,vibration,0.0727,g,reference:cwru
111,vibration_velocity,0.562,mm/s,reference:cwru
111,fault,0.0,state,reference:cwru
112,vibration,0.0736,g,reference:cwru
112,vibration_velocity,0.515,mm/s,reference:cwru
112,fault,0.0,state,reference:cwru
113,vibration,0.0708,g,reference:cwru
113,vibration_velocity,0.534,mm/s,reference:cwru
113,fault,0.0,state,reference:cwru
114,vibration,0.073,g,reference:cwru
114,vibration_velocity,0.553,mm/s,reference:cwru
114,fault,0.0,state,reference:cwru
115,vibration,0.0744,g,reference:cwru
115,vibration_velocity,0.533,mm/s,reference:cwru
115,fault,0.0,state,reference:cwru
116,vibration,0.0737,g,reference:cwru
116,vibration_velocity,0.631,mm/s,reference:cwru
116,fault,0.0,state,reference:cwru
117,vibration,0.0736,g,reference:cwru
117,vibration_velocity,0.497,mm/s,reference:cwru
117,fault,0.0,state,reference:cwru
118,vibration,0.075,g,reference:cwru
118,vibration_velocity,0.65,mm/s,reference:cwru
118,fault,0.0,state,reference:cwru
119,vibration,0.2887,g,reference:cwru
119,vibration_velocity,0.287,mm/s,reference:cwru
119,fault,1.0,state,reference:cwru
120,vibration,0.2831,g,reference:cwru
120,vibration_velocity,0.284,mm/s,reference:cwru
120,fault,1.0,state,reference:cwru
121,vibration,0.2903,g,reference:cwru
121,vibration_velocity,0.296,mm/s,reference:cwru
121,fault,1.0,state,reference:cwru
122,vibration,0.2909,g,reference:cwru
122,vibration_velocity,0.308,mm/s,reference:cwru
122,fault,1.0,state,reference:cwru
123,vibration,0.2923,g,reference:cwru
123,vibration_velocity,0.316,mm/s,reference:cwru
123,fault,1.0,state,reference:cwru
124,vibration,0.2872,g,reference:cwru
124,vibration_velocity,0.294,mm/s,reference:cwru
124,fault,1.0,state,reference:cwru
125,vibration,0.288,g,reference:cwru
125,vibration_velocity,0.292,mm/s,reference:cwru
125,fault,1.0,state,reference:cwru
126,vibration,0.2901,g,reference:cwru
126,vibration_velocity,0.293,mm/s,reference:cwru
126,fault,1.0,state,reference:cwru
127,vibration,0.2899,g,reference:cwru
127,vibration_velocity,0.3,mm/s,reference:cwru
127,fault,1.0,state,reference:cwru
128,vibration,0.2938,g,reference:cwru
128,vibration_velocity,0.303,mm/s,reference:cwru
128,fault,1.0,state,reference:cwru
129,vibration,0.2876,g,reference:cwru
129,vibration_velocity,0.319,mm/s,reference:cwru
129,fault,1.0,state,reference:cwru
130,vibration,0.2916,g,reference:cwru
130,vibration_velocity,0.3,mm/s,reference:cwru
130,fault,1.0,state,reference:cwru
131,vibration,0.2969,g,reference:cwru
131,vibration_velocity,0.324,mm/s,reference:cwru
131,fault,1.0,state,reference:cwru
132,vibration,0.2918,g,reference:cwru
132,vibration_velocity,0.317,mm/s,reference:cwru
132,fault,1.0,state,reference:cwru
133,vibration,0.2974,g,reference:cwru
133,vibration_velocity,0.296,mm/s,reference:cwru
133,fault,1.0,state,reference:cwru
134,vibration,0.2947,g,reference:cwru
134,vibration_velocity,0.299,mm/s,reference:cwru
134,fault,1.0,state,reference:cwru
135,vibration,0.2946,g,reference:cwru
135,vibration_velocity,0.299,mm/s,reference:cwru
135,fault,1.0,state,reference:cwru
136,vibration,0.292,g,reference:cwru
136,vibration_velocity,0.296,mm/s,reference:cwru
136,fault,1.0,state,reference:cwru
137,vibration,0.2911,g,reference:cwru
137,vibration_velocity,0.29,mm/s,reference:cwru
137,fault,1.0,state,reference:cwru
138,vibration,0.2905,g,reference:cwru
138,vibration_velocity,0.293,mm/s,reference:cwru
138,fault,1.0,state,reference:cwru
139,vibration,0.2948,g,reference:cwru
139,vibration_velocity,0.295,mm/s,reference:cwru
139,fault,1.0,state,reference:cwru
140,vibration,0.2876,g,reference:cwru
140,vibration_velocity,0.293,mm/s,reference:cwru
140,fault,1.0,state,reference:cwru
141,vibration,0.2939,g,reference:cwru
141,vibration_velocity,0.294,mm/s,reference:cwru
141,fault,1.0,state,reference:cwru
142,vibration,0.2934,g,reference:cwru
142,vibration_velocity,0.301,mm/s,reference:cwru
142,fault,1.0,state,reference:cwru
143,vibration,0.2906,g,reference:cwru
143,vibration_velocity,0.296,mm/s,reference:cwru
143,fault,1.0,state,reference:cwru
144,vibration,0.2937,g,reference:cwru
144,vibration_velocity,0.316,mm/s,reference:cwru
144,fault,1.0,state,reference:cwru
145,vibration,0.2909,g,reference:cwru
145,vibration_velocity,0.308,mm/s,reference:cwru
145,fault,1.0,state,reference:cwru
146,vibration,0.2875,g,reference:cwru
146,vibration_velocity,0.306,mm/s,reference:cwru
146,fault,1.0,state,reference:cwru
147,vibration,0.2884,g,reference:cwru
147,vibration_velocity,0.309,mm/s,reference:cwru
147,fault,1.0,state,reference:cwru
148,vibration,0.2904,g,reference:cwru
148,vibration_velocity,0.303,mm/s,reference:cwru
148,fault,1.0,state,reference:cwru
149,vibration,0.2901,g,reference:cwru
149,vibration_velocity,0.299,mm/s,reference:cwru
149,fault,1.0,state,reference:cwru
150,vibration,0.2892,g,reference:cwru
150,vibration_velocity,0.323,mm/s,reference:cwru
150,fault,1.0,state,reference:cwru
151,vibration,0.2927,g,reference:cwru
151,vibration_velocity,0.299,mm/s,reference:cwru
151,fault,1.0,state,reference:cwru
152,vibration,0.2874,g,reference:cwru
152,vibration_velocity,0.333,mm/s,reference:cwru
152,fault,1.0,state,reference:cwru
153,vibration,0.2929,g,reference:cwru
153,vibration_velocity,0.31,mm/s,reference:cwru
153,fault,1.0,state,reference:cwru
154,vibration,0.2911,g,reference:cwru
154,vibration_velocity,0.353,mm/s,reference:cwru
154,fault,1.0,state,reference:cwru
155,vibration,0.2938,g,reference:cwru
155,vibration_velocity,0.351,mm/s,reference:cwru
155,fault,1.0,state,reference:cwru
156,vibration,0.2987,g,reference:cwru
156,vibration_velocity,0.324,mm/s,reference:cwru
156,fault,1.0,state,reference:cwru
157,vibration,0.2926,g,reference:cwru
157,vibration_velocity,0.305,mm/s,reference:cwru
157,fault,1.0,state,reference:cwru
158,vibration,0.291,g,reference:cwru
158,vibration_velocity,0.338,mm/s,reference:cwru
158,fault,1.0,state,reference:cwru
159,vibration,0.2927,g,reference:cwru
159,vibration_velocity,0.365,mm/s,reference:cwru
159,fault,1.0,state,reference:cwru
160,vibration,0.2935,g,reference:cwru
160,vibration_velocity,0.299,mm/s,reference:cwru
160,fault,1.0,state,reference:cwru
161,vibration,0.2922,g,reference:cwru
161,vibration_velocity,0.298,mm/s,reference:cwru
161,fault,1.0,state,reference:cwru
162,vibration,0.2877,g,reference:cwru
162,vibration_velocity,0.294,mm/s,reference:cwru
162,fault,1.0,state,reference:cwru
163,vibration,0.2968,g,reference:cwru
163,vibration_velocity,0.3,mm/s,reference:cwru
163,fault,1.0,state,reference:cwru
164,vibration,0.2866,g,reference:cwru
164,vibration_velocity,0.296,mm/s,reference:cwru
164,fault,1.0,state,reference:cwru
165,vibration,0.2952,g,reference:cwru
165,vibration_velocity,0.301,mm/s,reference:cwru
165,fault,1.0,state,reference:cwru
166,vibration,0.2929,g,reference:cwru
166,vibration_velocity,0.303,mm/s,reference:cwru
166,fault,1.0,state,reference:cwru
167,vibration,0.2898,g,reference:cwru
167,vibration_velocity,0.312,mm/s,reference:cwru
167,fault,1.0,state,reference:cwru
168,vibration,0.2925,g,reference:cwru
168,vibration_velocity,0.303,mm/s,reference:cwru
168,fault,1.0,state,reference:cwru
169,vibration,0.2875,g,reference:cwru
169,vibration_velocity,0.313,mm/s,reference:cwru
169,fault,1.0,state,reference:cwru
170,vibration,0.2847,g,reference:cwru
170,vibration_velocity,0.312,mm/s,reference:cwru
170,fault,1.0,state,reference:cwru
171,vibration,0.2931,g,reference:cwru
171,vibration_velocity,0.306,mm/s,reference:cwru
171,fault,1.0,state,reference:cwru
172,vibration,0.2899,g,reference:cwru
172,vibration_velocity,0.3,mm/s,reference:cwru
172,fault,1.0,state,reference:cwru
173,vibration,0.2996,g,reference:cwru
173,vibration_velocity,0.3,mm/s,reference:cwru
173,fault,1.0,state,reference:cwru
174,vibration,0.2903,g,reference:cwru
174,vibration_velocity,0.301,mm/s,reference:cwru
174,fault,1.0,state,reference:cwru
175,vibration,0.2902,g,reference:cwru
175,vibration_velocity,0.297,mm/s,reference:cwru
175,fault,1.0,state,reference:cwru
176,vibration,0.2934,g,reference:cwru
176,vibration_velocity,0.298,mm/s,reference:cwru
176,fault,1.0,state,reference:cwru
177,vibration,0.2924,g,reference:cwru
177,vibration_velocity,0.3,mm/s,reference:cwru
177,fault,1.0,state,reference:cwru
